Datum,UAV,Baum,Kameraparameter,Value,Error
11.03.2025,DJI Mini 3 Pro,Kirsche,F,5623.41,0.11
11.03.2025,DJI Mini 3 Pro,Kirsche,Cx,-3.1823,0.13
11.03.2025,DJI Mini 3 Pro,Kirsche,Cy,-5.36455,0.13
11.03.2025,DJI Mini 3 Pro,Kirsche,K1,0.0903815,6.5e-05
11.03.2025,DJI Mini 3 Pro,Kirsche,K2,-0.162513,0.00019
11.03.2025,DJI Mini 3 Pro,Kirsche,K3,0.11309,0.00018
11.03.2025,DJI Mini 3 Pro,Kirsche,P1,-0.000216607,8.9e-06
11.03.2025,DJI Mini 3 Pro,Kirsche,P2,0.000152914,8.2e-06
19.03.2025,DJI Mini 3 Pro,Kirsche,F,5629.2,0.066
19.03.2025,DJI Mini 3 Pro,Kirsche,Cx,4.44527,0.11
19.03.2025,DJI Mini 3 Pro,Kirsche,Cy,-6.60412,0.098
19.03.2025,DJI Mini 3 Pro,Kirsche,K1,0.0908802,3.9e-05
19.03.2025,DJI Mini 3 Pro,Kirsche,K2,-0.167845,0.00011
19.03.2025,DJI Mini 3 Pro,Kirsche,K3,0.120049,9.9e-05
19.03.2025,DJI Mini 3 Pro,Kirsche,P1,-0.00012346,7.6e-06
19.03.2025,DJI Mini 3 Pro,Kirsche,P2,0.000256288,6.2e-06
26.03.2025,DJI Mini 3 Pro,Kirsche,F,5622.69,0.089
26.03.2025,DJI Mini 3 Pro,Kirsche,Cx,-2.51589,0.12
26.03.2025,DJI Mini 3 Pro,Kirsche,Cy,-1.49144,0.11
26.03.2025,DJI Mini 3 Pro,Kirsche,K1,0.0972037,5.5e-05
26.03.2025,DJI Mini 3 Pro,Kirsche,K2,-0.173141,0.00015
26.03.2025,DJI Mini 3 Pro,Kirsche,K3,0.122564,0.00014
26.03.2025,DJI Mini 3 Pro,Kirsche,P1,-0.000175157,8.2e-06
26.03.2025,DJI Mini 3 Pro,Kirsche,P2,0.000526118,6.9e-06
31.03.2025,DJI Mini 3 Pro,Kirsche,F,5613.41,0.073
31.03.2025,DJI Mini 3 Pro,Kirsche,Cx,4.43226,0.11
31.03.2025,DJI Mini 3 Pro,Kirsche,Cy,-5.02279,0.097
31.03.2025,DJI Mini 3 Pro,Kirsche,K1,0.0985852,4.4e-05
31.03.2025,DJI Mini 3 Pro,Kirsche,K2,-0.176647,0.00012
31.03.2025,DJI Mini 3 Pro,Kirsche,K3,0.125311,0.00011
31.03.2025,DJI Mini 3 Pro,Kirsche,P1,0.000184933,7.3e-06
31.03.2025,DJI Mini 3 Pro,Kirsche,P2,0.000255722,6.2e-06
11.04.2025,DJI Mini 3 Pro,Kirsche,F,5621.92,0.073
11.04.2025,DJI Mini 3 Pro,Kirsche,Cx,16.0698,0.11
11.04.2025,DJI Mini 3 Pro,Kirsche,Cy,-3.24563,0.086
11.04.2025,DJI Mini 3 Pro,Kirsche,K1,0.102754,4.2e-05
11.04.2025,DJI Mini 3 Pro,Kirsche,K2,-0.191501,0.00011
11.04.2025,DJI Mini 3 Pro,Kirsche,K3,0.139224,9.8e-05
11.04.2025,DJI Mini 3 Pro,Kirsche,P1,0.000710218,6.5e-06
11.04.2025,DJI Mini 3 Pro,Kirsche,P2,0.000420338,5.5e-06
23.04.2025,DJI Mini 3 Pro,Kirsche,F,5617.79,0.11
23.04.2025,DJI Mini 3 Pro,Kirsche,Cx,-9.29477,0.16
23.04.2025,DJI Mini 3 Pro,Kirsche,Cy,-6.34228,0.12
23.04.2025,DJI Mini 3 Pro,Kirsche,K1,0.0967168,5.6e-05
23.04.2025,DJI Mini 3 Pro,Kirsche,K2,-0.181688,0.00015
23.04.2025,DJI Mini 3 Pro,Kirsche,K3,0.132217,0.00013
23.04.2025,DJI Mini 3 Pro,Kirsche,P1,-3.88066e-05,9.7e-06
23.04.2025,DJI Mini 3 Pro,Kirsche,P2,0.000272872,7.7e-06
19.03.2025,DJI Mini 3 Pro,Kirsche,F,5629.2,0.066
19.03.2025,DJI Mini 3 Pro,Kirsche,Cx,4.44527,0.11
19.03.2025,DJI Mini 3 Pro,Kirsche,Cy,-6.60412,0.098
19.03.2025,DJI Mini 3 Pro,Kirsche,K1,0.0908802,3.9e-05
19.03.2025,DJI Mini 3 Pro,Kirsche,K2,-0.167845,0.00011
19.03.2025,DJI Mini 3 Pro,Kirsche,K3,0.120049,9.9e-05
19.03.2025,DJI Mini 3 Pro,Kirsche,P1,-0.00012346,7.6e-06
19.03.2025,DJI Mini 3 Pro,Kirsche,P2,0.000256288,6.2e-06
26.03.2025,DJI Mini 3 Pro,Kirsche,F,5622.69,0.089
26.03.2025,DJI Mini 3 Pro,Kirsche,Cx,-2.51589,0.12
26.03.2025,DJI Mini 3 Pro,Kirsche,Cy,-1.49144,0.11
26.03.2025,DJI Mini 3 Pro,Kirsche,K1,0.0972037,5.5e-05
26.03.2025,DJI Mini 3 Pro,Kirsche,K2,-0.173141,0.00015
26.03.2025,DJI Mini 3 Pro,Kirsche,K3,0.122564,0.00014
26.03.2025,DJI Mini 3 Pro,Kirsche,P1,-0.000175157,8.2e-06
26.03.2025,DJI Mini 3 Pro,Kirsche,P2,0.000526118,6.9e-06
31.03.2025,DJI Mini 3 Pro,Kirsche,F,5613.41,0.073
31.03.2025,DJI Mini 3 Pro,Kirsche,Cx,4.43226,0.11
31.03.2025,DJI Mini 3 Pro,Kirsche,Cy,-5.02279,0.097
31.03.2025,DJI Mini 3 Pro,Kirsche,K1,0.0985852,4.4e-05
31.03.2025,DJI Mini 3 Pro,Kirsche,K2,-0.176647,0.00012
31.03.2025,DJI Mini 3 Pro,Kirsche,K3,0.125311,0.00011
31.03.2025,DJI Mini 3 Pro,Kirsche,P1,0.000184933,7.3e-06
31.03.2025,DJI Mini 3 Pro,Kirsche,P2,0.000255722,6.2e-06
11.04.2025,DJI Mini 3 Pro,Kirsche,F,5621.92,0.073
11.04.2025,DJI Mini 3 Pro,Kirsche,Cx,16.0698,0.11
11.04.2025,DJI Mini 3 Pro,Kirsche,Cy,-3.24563,0.086
11.04.2025,DJI Mini 3 Pro,Kirsche,K1,0.102754,4.2e-05
11.04.2025,DJI Mini 3 Pro,Kirsche,K2,-0.191501,0.00011
11.04.2025,DJI Mini 3 Pro,Kirsche,K3,0.139224,9.8e-05
11.04.2025,DJI Mini 3 Pro,Kirsche,P1,0.000710218,6.5e-06
11.04.2025,DJI Mini 3 Pro,Kirsche,P2,0.000420338,5.5e-06
