order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.1989	189.471	4.3386	7.944	0	0	-18.1	5
1	1	0.0477	1.7991	0.2537	3.506	1.947	50.1	-148.3	49.9
1	1	0.0497	2.7228	0.2654	2.607	1.971	69	68.6	65.6
1	1	0.0567	3.0648	0.3503	3.937	1.99	43	-23.1	47.3
1	1	0.0409	1.8276	0.2359	3.082	2.202	87.3	-93.4	88.9
1	1	0.0346	1.3274	0.2171	3.119	2.258	54.8	149	48.1
0	0	0	0	0	0	0	0	0	0
1	1	0.0366	0.7585	0.1428	2.45	2.364	90.9	-106.7	89.6
1	1	0.0415	1.4401	0.2113	2.914	2.614	78.5	21	78.4
1	1	0.0306	1.5195	0.2351	3.17	2.634	54.4	-88.6	57.3
1	1	0.0279	0.3418	0.0646	1.11	2.684	92	141.6	88.3
1	1	0.0383	1.1448	0.1853	2.643	2.822	84.3	15.4	87.3
1	1	0.0098	0.0613	0.0249	0.807	2.919	85.1	-65.1	88.5
1	1	0.0439	1.7461	0.2201	2.495	2.86	79.8	143.6	79.4
1	1	0.0319	0.3974	0.0735	1.188	3.003	89.8	-135.6	89.4
1	1	0.049	1.8138	0.2433	2.971	3.154	74.4	16	76.3
1	1	0.0288	0.5164	0.0816	1.115	6.646	11.6	69.6	19.9
2	1338	0.0311	2.906	0.5066	7.869	3.401	89.1	-158.7	93.9
2	1338	0.0441	1.8629	0.2061	2.053	3.476	54.8	-19.2	55.2
2	1338	0.0431	2.7787	0.3145	3.397	3.405	45.2	75.1	36.9
2	1338	0.0157	0.06	0.0171	0.393	4.057	128.2	10.4	103.3
2	1338	0.0291	0.2942	0.0404	0.441	3.619	100.3	-71.6	104.7
2	1338	0.0394	1.3964	0.2182	2.855	3.585	59	-65.7	65.5
2	1338	0.0263	1.0012	0.1883	2.997	4.22	47	-94.1	103.8
2	1338	0.0145	0.0969	0.0272	0.613	4.194	84.3	-116.3	133.4
2	1338	0.0162	0.6164	0.1604	3.357	6.828	172.5	-20.8	122.3
0	0	0	0	0	0	0	0	0	0
2	1338	0.0417	0.6478	0.0621	0.474	4.114	90.5	163.1	100.9
2	1338	0.0276	0.9212	0.1636	2.398	3.713	71.4	-116.5	76.5
2	1338	0.0798	0.9187	0.0841	0.726	3.85	84.7	167.5	83.8
2	1338	0.0313	1.5989	0.2397	3.188	4.205	42.1	72.6	33.9
2	1338	0.0178	0.3446	0.0881	1.806	4.391	82.6	-163.4	85.5
2	1338	0.0166	0.2159	0.043	0.711	4.507	86.1	142.5	94.7
2	1338	0.0326	0.4371	0.0587	0.672	4.589	73.3	15.3	79.7
3	1353	0.0136	0.8576	0.1585	2.803	4.68	87.7	-52.8	79.8
3	1353	0.0411	0.2657	0.0259	0.2	4.776	47.4	-0.1	44.1
0	0	0	0	0	0	0	0	0	0
3	1353	0.0192	0.6784	0.1287	2.14	4.839	51.9	-136.2	55.8
3	1353	0.0189	0.5653	0.113	1.957	4.906	50.4	170.5	57.5
