Date,Instrument,Tree
2025-02-21,Messstreifen,Ahorn
2025-02-28,Messstreifen,Ahorn
2025-03-05,Messstreifen,Ahorn
2025-03-14,Messstreifen,Ahorn
2025-03-24,Messstreifen,Ahorn
2025-03-31,Messstreifen,Ahorn
2025-04-11,Messstreifen,Ahorn
2025-04-16,Messstreifen,Ahorn
2025-04-23,Messstreifen,Ahorn
2025-04-30,Messstreifen,Ahorn
2025-05-08,Messstreifen,Ahorn
2025-05-15,Messstreifen,Ahorn
2025-05-21,Messstreifen,Ahorn
2025-02-21,Messstreifen,Kirsche
2025-02-28,Messstreifen,Kirsche
2025-03-05,Messstreifen,Kirsche
2025-03-14,Messstreifen,Kirsche
2025-03-19,Messstreifen,Kirsche
2025-03-24,Messstreifen,Kirsche
2025-03-31,Messstreifen,Kirsche
2025-04-11,Messstreifen,Kirsche
2025-04-16,Messstreifen,Kirsche
2025-04-23,Messstreifen,Kirsche
2025-04-30,Messstreifen,Kirsche
2025-05-08,Messstreifen,Kirsche
2025-05-15,Messstreifen,Kirsche
2025-05-21,Messstreifen,Kirsche
2025-05-28,Messstreifen,Kirsche
2025-02-21,Messstreifen,Linde
2025-02-28,Messstreifen,Linde
2025-03-05,Messstreifen,Linde
2025-03-14,Messstreifen,Linde
2025-03-24,Messstreifen,Linde
2025-03-31,Messstreifen,Linde
2025-04-11,Messstreifen,Linde
2025-04-16,Messstreifen,Linde
2025-04-23,Messstreifen,Linde
2025-04-30,Messstreifen,Linde
2025-05-08,Messstreifen,Linde
2025-05-15,Messstreifen,Linde
2025-05-21,Messstreifen,Linde
