Date,Pilot,UAV,Tree,Images,Wind,Used
2025-02-21,mtsc,DJIMini3Pro,Kirsche,93,J,False
2025-02-28,namp,DJIMini3Pro,Kirsche,140,N,False
2025-03-05,namp,DJIMini3Pro,Kirsche,123,N,False
2025-03-11,namp,DJIMini3Pro,Kirsche,240,N,True
2025-03-14,mtsc,DJIMini3Pro,Kirsche,394,J,False
2025-03-17,namp,DJIMini3Pro,Kirsche,400,J,False
2025-03-19,namp,DJIMini3Pro,Kirsche,501,N,True
2025-03-26,namp,DJIMini3Pro,Kirsche,444,N,True
2025-03-31,mtsc,DJIMini3Pro,Kirsche,519,N,True
2025-04-11,mtsc,DJIMini3Pro,Kirsche,710,N,True
2025-04-23,mtsc,DJIMini3Pro,Kirsche,603,J,True
2025-03-24,namp,DJIPhantom4ProV2,Kirsche,638,N,True
2025-04-11,namp,DJIPhantom4ProV2,Kirsche,976,N,True
2025-04-23,namp,DJIPhantom4ProV2,Kirsche,751,N,True
2025-02-21,mtsc,DJIMini3Pro,Ahorn,83,J,False
2025-02-28,namp,DJIMini3Pro,Ahorn,134,N,False
2025-03-05,mtsc,DJIMini3Pro,Ahorn,158,N,False
2025-03-14,mtsc,DJIMini3Pro,Ahorn,295,J,True
2025-03-17,mtsc,DJIMini3Pro,Ahorn,340,J,True
2025-04-03,mtsc,DJIMini3Pro,Ahorn,489,N,True
2025-05-08,mtsc,DJIMini3Pro,Ahorn,514,N,True
2025-02-21,mtsc,DJIMini3Pro,Linde,82,J,False
2025-02-28,mtsc,DJIMini3Pro,Linde,144,N,False
2025-04-03,namp,DJIMini3Pro,Linde,424,N,True
2025-05-08,namp,DJIMini3Pro,Linde,550,N,True
